County,Population,Area,Population Density
Adams,34387.00,339,101.4365782
Allen,355329.00,657,540.8356164
Bartholomew,76794.00,407,188.6830467
Benton,8854.00,406,21.80788177
Blackford,12766.00,165,77.36969697
Boone,56640.00,423,133.9007092
Brown,15242.00,312,48.8525641
Carroll,20165.00,372,54.20698925
Cass,38966.00,412,94.5776699
Clark,110232.00,373,295.5281501
Clay,26890.00,358,75.11173184
Clinton,33224.00,405,82.0345679
Crawford,10713.00,306,35.00980392
Daviess,31648.00,429,73.77156177
Dearborn,50047.00,305,164.0885246
Decatur,25740.00,373,69.0080429
DeKalb,40285.00,363,110.9779614
Delaware,117671.00,392,300.1811224
Dubois,41889.00,427,98.10070258
Elkhart,197559.00,463,426.6933045
Fayette,24277.00,215,112.9162791
Floyd,74578.00,148,503.9054054
Fountain,17240.00,396,43.53535354
Franklin,23087.00,384,60.12239583
Fulton,20836.00,368,56.61956522
Gibson,33503.00,487,68.79466119
Grant,70061.00,414,169.2294686
Greene,33165.00,543,61.07734807
Hamilton,274569.00,394,696.8756345
Hancock,70002.00,306,228.7647059
Harrison,39364.00,485,81.1628866
Hendricks,145488.00,407,357.4643735
Henry,49462.00,392,126.1785714
Howard,82752.00,293,282.4300341
Huntington,37124.00,383,96.92950392
Jackson,42367.00,509,83.23575639
Jasper,33478.00,560,59.78214286
Jay,21253.00,384,55.34635417
Jefferson,32428.00,361,89.82825485
Jennings,28525.00,377,75.66312997
Johnson,139654.00,320,436.41875
Knox,38440.00,516,74.49612403
Kosciusko,77358.00,531,145.6836158
LaGrange,37128.00,380,97.70526316
Lake,496005.00,499,993.997996
LaPorte,111467.00,598,186.3996656
Lawrence,46134.00,449,102.7483296
Madison,131636.00,452,291.2300885
Marion,903393.00,396,2281.295455
Marshall,47051.00,444,105.9707207
Martin,10334.00,336,30.75595238
Miami,36903.00,374,98.67112299
Monroe,137974.00,395,349.3012658
Montgomery,38124.00,505,75.49306931
Morgan,68894.00,404,170.529703
Newton,14244.00,402,35.43283582
Noble,47536.00,411,115.6593674
Ohio,6128.00,86,71.25581395
Orange,19840.00,398,49.84924623
Owen,21575.00,385,56.03896104
Parke,17339.00,445,38.96404494
Perry,19338.00,382,50.62303665
Pike,12845.00,334,38.45808383
Porter,164343.00,418,393.1650718
Posey,25910.00,410,63.19512195
Pulaski,13402.00,434,30.88018433
Putnam,36019.00,481,74.88357588
Randolph,26171.00,452,57.90044248
Ripley,28818.00,446,64.61434978
Rush,17392.00,408,42.62745098
Scott,24181.00,190,127.2684211
Shelby,44436.00,411,108.1167883
Spencer,20952.00,397,52.77581864
St. Joseph,266931.00,458,582.8187773
Starke,23363.00,309,75.60841424
Steuben,34185.00,309,110.631068
Sullivan,21745.00,447,48.64653244
Switzerland,10613.00,221,48.02262443
Tippecanoe,172780.00,500,345.56
Tipton,15936.00,261,61.05747126
Union,7516.00,161,46.68322981
Vanderburgh,179703.00,233,771.2575107
Vermillion,16212.00,257,63.08171206
Vigo,107818.00,403,267.5384615
Wabash,32888.00,412,79.82524272
Warren,8508.00,365,23.30958904
Warrick,59689.00,385,155.0363636
Washington,28262.00,514,54.9844358
Wayne,68917.00,402,171.4353234
Wells,27636.00,368,75.09782609
White,24643.00,505,48.7980198
Whitley,33292.00,336,99.08333333
